item_id,timestamp,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value
2020122706050811,2021-12-25 15:36:00,25.0,34.5,103.4,7.6,5.5,15.8,7.6,166.1,5.7,6.6,74.9,10.7,5.3,68.5,72.2,72.6
2020122706050811,2021-12-25 15:41:00,25.9,34.8,106.6,7.9,5.7,16.1,7.6,165.1,5.9,6.9,77.5,11.2,5.5,18.7,74.2,75.2
2020122706050811,2021-12-25 15:47:00,26.2,35.2,107.5,8.0,5.7,16.3,7.5,166.1,5.9,6.8,78.3,11.1,5.5,18.5,74.9,76.0
2020122706050811,2021-12-25 15:52:00,25.9,34.2,105.3,8.0,5.7,15.7,7.6,135.8,5.9,6.9,78.4,11.2,5.6,18.3,75.0,76.3
2020122706050811,2021-12-25 15:57:00,25.7,34.1,105.8,8.2,5.7,15.8,7.5,125.1,5.9,7.0,79.6,11.4,5.4,18.5,75.0,73.3
2020122706050811,2021-12-25 16:03:00,26.0,34.2,102.7,8.3,5.7,15.9,7.6,120.0,6.0,7.0,80.7,11.3,5.3,18.7,73.7,73.9
2020122706050811,2021-12-25 16:08:00,25.4,34.1,99.4,8.4,5.7,16.2,7.6,122.7,6.0,7.1,82.5,11.5,5.0,18.9,75.3,75.5
2020122706050811,2021-12-25 16:13:00,25.1,34.1,100.4,8.5,5.8,16.1,7.7,121.3,6.1,7.2,83.4,10.9,5.0,19.0,76.1,76.3
2020122706050811,2021-12-25 16:19:00,24.9,32.9,101.2,8.5,5.8,15.8,7.7,120.2,6.0,7.2,83.3,10.9,5.0,19.1,76.7,76.5
2020122706050811,2021-12-25 16:24:00,24.3,32.4,101.1,8.6,5.9,16.1,7.7,120.5,5.9,7.2,81.2,11.0,5.1,17.2,78.4,77.5
2020122706050811,2021-12-25 16:29:00,24.9,32.5,104.0,8.8,6.1,16.6,8.0,123.8,6.1,7.4,83.8,8.2,5.3,17.7,80.0,79.8
2020122706050811,2021-12-25 16:35:00,25.8,33.6,107.4,9.1,6.3,17.1,6.9,113.8,6.3,7.7,86.7,7.4,5.4,17.8,82.7,82.7
